gendid	chr	s1	s2
150	1	147119225	147142171
151	3	132036301	132086667
152	19	51293672	51298416
153	12	6747448	6756533
154	11	125542488	125550676
155	15	78463786	78526844
156	19	6141555	6190669
157	16	89167090	89220616
158	4	185678279	185724669
159	2	223773491	223806373
160	10	114136068	114187117
161	5	131289927	131347614
162	16	20634808	20702511
163	16	20471437	20498001
164	16	20781357	20808295
165	12	7456928	7480970
166	16	20422807	20451750
167	20	24988398	25038739
168	20	33464449	33515018
169	12	81471900	81648702
170	1	229567246	229568863
171	10	90694980	90708688
172	5	56777404	56778535
173	15	35082613	35087010
174	2	74128439	74146703
175	3	179280881	179305799
176	7	100240869	100253978
177	9	111624603	111625911
178	9	111616963	111618211
179	1	18149504	18153015
180	14	69341576	69445774
181	1	236849974	236925920
182	11	66314409	66330665
183	19	39138386	39220073
184	14	58666936	58701270
185	10	104240620	104262405
186	2	98273321	98280354
187	7	152456968	152551639
188	20	37377122	37400460
189	12	100594630	100617694
190	3	53902746	53916129
191	2	158594043	158656006
192	12	52345528	52387895
193	2	158390430	158485157
194	2	148602722	148684844
195	3	38495814	38524824
196	12	52306259	52314678
197	3	52018081	52023092
198	11	67410195	67414515
199	14	75520147	75530257
200	2	54342836	54531940
201	20	43248475	43280249
202	4	123301225	123350895
203	16	84224837	84230581
204	15	43627306	43644144
205	15	58889746	59041734
206	17	42836568	42857123
207	10	127705848	128076715
208	1	155023863	155034979
209	2	9630306	9695735
210	8	39442142	39587460
211	5	156907957	157002705
212	8	39602379	39695705
213	14	70989294	70991625
214	7	87563781	87825807
215	2	207308591	207482352
216	8	24151663	24211918
217	4	175896677	175899140
218	1	120436587	120438960
219	8	38965295	39142319
220	20	3649610	3662652
221	1	1	2
222	1	1	2
223	1	1	2
224	8	24298622	24366060
225	10	135076660	135090322
226	8	38854583	38961220
227	8	24242018	24262812
228	21	28209898	28217274
229	19	8645777	8670596
230	9	136287564	136324303
231	10	72432559	72520610
232	11	130318869	130343717
233	5	5140581	5319252
234	15	100514607	100882105
235	16	77317853	77468593
236	5	128796103	129072912
237	5	178540868	178772330
238	12	43748012	43945725
239	4	73148853	73434480
240	1	161160928	161168418
241	21	28296372	28338711
242	5	64447663	64769501
243	15	79051763	79103563
244	11	130275453	130298182
245	3	64507847	64673334
246	9	18474231	18908547
247	15	84324514	84706559
248	1	150524765	150532673
249	19	1506014	1510943
250	7	938558	994114
251	17	29249033	29284888
252	1	154557282	154580483
253	21	46591572	46645471
254	10	1229133	1779345
255	16	75634114	75654698
256	19	1912095	1913151
257	1	33547851	33585784
258	14	78285322	78399735
259	7	140373131	140394604
260	19	41197940	41220538
261	8	145597785	145618290
262	7	45614143	45753595
263	1	167778915	167874379
264	5	7396410	7826985
265	2	25042801	25141857
266	14	24787622	24803859
267	3	123003455	123167393
268	12	49162374	49177218
269	16	50322091	50349417
270	8	131792636	132052580
271	16	4015776	4165444
272	18	905388	909637
273	7	31102881	31146299
274	4	2877643	2930251
275	2	70903841	70995032
276	10	111860412	111893377
277	4	100197781	100212072
278	4	100257909	100273833
279	4	100045593	100065374
280	4	100125376	100140310
281	8	67344752	67380588
282	2	3502734	3523259
283	20	37209894	37214791
284	12	1863510	1895239
285	10	75911037	76468204
286	11	10327248	10328189
287	22	50920277	50921333
288	20	49507942	49520534
289	10	64564820	64565633
290	1	203097970	203135029
291	22	24829373	24837458
292	17	15848563	15878657
293	1	112026309	112106575
294	15	73044682	73076033
295	3	119301017	119306726
296	13	114077137	114107753
297	1	36554506	36558988
298	8	26606107	26722487
299	5	159343913	159399500
300	20	4202170	4229605
301	10	112837755	112839153
302	2	96780545	96781889
303	4	3768334	3769723
304	10	115803892	115805326
305	5	148206395	148207637
306	8	37821736	37823988
307	11	67034171	67052922
308	20	60878625	60883818
309	22	40742563	40762527
310	1	244572888	244615120
311	14	105190608	105213341
312	7	44144265	44153861
313	12	19592634	19671655
314	15	89169441	89173526
315	19	3053817	3062926
316	4	7765492	7873806
317	5	148651532	148719594
318	10	116055801	116164215
319	4	87869686	88056854
320	2	100167936	100720917
321	5	132216751	132272882
322	18	12329564	12377082
323	4	74347493	74368788
324	17	76183452	76203019
325	4	74301980	74320998
326	2	64778609	64819170
327	4	178352862	178363530
328	2	236403331	237032767
329	12	58120335	58135855
330	7	150783829	150841031
331	15	86686953	87572072
332	11	47681725	47736203
333	7	134672685	134820014
334	2	27275827	27293132
335	2	228337138	228419212
336	7	100136970	100162615
337	5	76326592	76359078
338	7	141255267	141352725
339	1	100316599	100387208
340	1	15900146	15911463
341	9	139568204	139581810
342	21	45379563	45402274
343	6	161557572	161653246
344	8	6566190	6614910
345	8	41456659	41478521
346	4	84457776	84525921
347	2	178257518	178402924
348	7	16832532	16841421
349	7	16899206	16918243
350	1	955553	990362
351	16	67516539	67517302
352	1	230838887	230846597
353	9	88162024	88327449
354	3	148458823	148459903
355	1	11796266	11810250
356	2	241808283	241818239
357	5	34998824	35047998
358	4	109663640	109684055
359	5	177638922	177659552
360	1	247004108	247094630
361	1	110527675	110564303
362	7	128864918	129066887
363	1	27873815	27878627
364	6	135606783	135813376
365	11	62201356	62303571
366	14	105404400	105444575
367	7	17338889	17382689
368	5	304335	434950
369	14	77924533	77935593
370	3	186330931	186338720
371	16	31539461	31540013
372	12	8756880	8765364
373	9	133972017	133995710
374	10	71873934	71883841
375	22	21322233	21335321
376	6	143382063	143660814
377	1	26648459	26673149
378	1	159032482	159043290
379	7	6048995	6063323
380	11	67250630	67258465
381	17	6328780	6338425
382	21	45705890	45717611
383	1	4715486	4834560
384	9	130630287	130636897
385	1	33476430	33502430
386	1	77747999	78024356
387	14	96858492	96954681
388	17	55182826	55197686
389	17	19809540	19880993
390	13	42860485	42893365
391	6	151561698	151674876
392	15	86028952	86287909
393	9	112810980	112930778
394	12	4724905	4747363
395	14	64935113	64936397
396	14	32902700	33293980
397	6	131456904	131602867
398	19	15465726	15490543
399	7	91570414	91739474
400	1	39457053	39469728
401	6	88385315	88411403
402	9	117099334	117143614
403	1	109358793	109395287
404	1	46027467	46035629
405	10	5032188	5046028
406	10	5136637	5149696
407	10	5238831	5260724
408	1	1	2
409	7	137761265	137801409
410	1	19630719	19638619
411	14	105236678	105258981
412	19	50373174	50376553
413	19	40739779	40771175
414	1	243663045	244006473
415	9	116150580	116155840
416	3	52233258	52248197
417	4	74270045	74286016
418	3	105086253	105290784
419	19	49956589	49973725
420	10	97366519	97413135
421	9	75516124	75567917
422	15	58247395	58357849
423	15	101420113	101454979
424	9	38395746	38397300
425	3	125822634	125879823
426	12	105418202	105478215
427	12	112204787	112247380
428	17	19641534	19648443
429	17	19552285	19578886
430	11	67782768	67795407
431	11	67430686	67434407
432	1	19199339	19229018
433	6	24495225	24533941
434	14	74527345	74551098
435	6	135239553	135271192
436	1	165632287	165667796
437	16	30078576	30081534
438	9	104184091	104193170
439	17	26900544	26902551
440	16	5121851	5134883
441	12	34175535	34179851
442	12	38710696	38715016
443	22	50297486	50307414
444	1	95448632	95538455
445	9	101980216	101984177
446	3	183960302	183967066
447	13	37524079	37573438
448	1	63836649	63902692
449	11	77812010	77850635
450	11	111657121	111742207
451	2	29416090	30143526
452	14	78140155	78174348
453	12	109526011	109530592
454	11	43904203	43941561
455	7	102097841	102105284
456	19	36500192	36505136
457	19	6372832	6374985
458	11	107375384	107431620
459	2	3718748	3750154
460	2	73612997	73836740
461	17	6899437	6913743
462	17	7976089	7990761
463	1	1	2
464	17	4534895	4544947
465	17	7942474	7951884
466	10	45869728	45941136
467	13	31287863	31338244
468	17	7999945	8022097
469	2	233320910	233323857
470	4	113298934	113362367
471	18	56149055	56279030
472	15	85360078	85411688
473	1	21880575	21904142
474	2	233271605	233274583
475	2	202566574	202633609
476	3	46712474	46730931
477	2	202352335	202483854
478	2	202153378	202216128
479	2	203806626	203848348
480	12	85674040	85695254
481	1	110603355	110613235
482	11	44286404	44331613
483	5	33988413	34008125
484	4	71458076	71472448
485	9	116822519	116840490
486	11	46419000	46569931
487	6	111196309	111214820
488	12	96337177	96361622
489	16	2570460	2580761
490	16	56396821	56459240
491	19	2249332	2251957
492	12	53817719	53825258
493	11	118065040	118085582
494	1	110050053	110051535
495	12	47471217	47472786
496	3	49755384	49756899
497	14	103389026	103397018
498	12	31825238	31881943
499	11	94501678	94603961
500	3	134076547	134090276
501	1	115215735	115238192
502	1	110162891	110173775
503	11	10472569	10527432
504	7	38424419	38670952
505	3	49454777	49459884
506	4	71384495	71398183
507	7	2740086	2752513
508	17	66246329	66253111
509	4	145916525	146017252
510	17	79852354	79857977
511	3	134197432	134201747
512	9	140069394	140082985
513	4	25379050	25420005
514	12	121746283	121790144
515	12	110811949	110841535
516	14	21161724	21162168
517	14	77255571	77279171
518	1	213168383	213189014
519	8	108264083	108509787
520	8	6360622	6420456
521	20	853603	896858
522	1	178820264	178834912
523	9	129851218	129871011
524	1	63063238	63070489
525	19	8429206	8438771
526	11	101762010	101778641
527	19	10203265	10207240
528	1	11249637	11255081
529	8	41513246	41753999
530	4	113825650	114302628
531	10	61802449	62493078
532	2	190541217	190611354
533	15	65204130	65249528
534	17	54230871	54559909
535	17	4071073	4167237
536	5	14711306	14871557
537	5	139781553	139919004
538	5	139781553	139928823
539	7	91924293	92028264
540	11	113258607	113270990
541	12	133303828	133338385
542	2	241419026	241496753
543	7	16640386	16685199
544	5	72848622	72858707
545	10	92672623	92680785
546	13	111531984	111567282
547	16	89334886	89383428
548	18	9182431	9281125
549	12	110437494	110475360
550	17	27920640	27940601
551	1	70728400	70820092
552	11	67056932	67069804
553	10	5920093	5931318
554	4	73941948	74124386
555	1	1	2
556	10	99332465	99343483
557	10	90582698	90611365
558	2	97505286	97509730
559	19	4186423	4224503
560	10	27294519	27389256
561	19	33089051	33149922
562	3	15711777	15900911
563	18	21181190	21242695
564	5	74364344	74532512
565	5	93964516	94031018
566	12	52281971	52285090
567	1	145473329	145474820
568	5	79854294	79855839
569	15	79585627	79587235
570	1	145549317	145567757
571	4	186318078	186321172
572	2	97514038	97523725
573	17	48773358	48785016
574	11	82905713	82959044
575	2	197854315	198175329
576	1	173579284	173628558
577	8	101534783	101542062
578	11	94229860	94231699
579	20	10018950	10036309
580	4	125590142	125631667
581	12	56636926	56652054
582	22	38227950	38240246
583	5	55396010	55528741
584	4	77816621	77819003
585	2	110372067	110373645
586	6	90276696	90340724
587	7	117864885	117880016
588	14	102973273	102974227
589	6	34857180	35056387
590	12	99129338	100378016
591	16	4747029	4780151
592	16	21245059	21262142
593	9	101498801	101558774
594	2	220094980	220101168
595	7	36429636	36492210
596	11	69924713	70034111
597	3	43408398	43647345
598	12	5672465	6055327
599	11	26353823	26681992
600	12	101295564	101520849
601	11	22215039	22301312
602	12	45610105	45833722
603	2	242128027	242163569
604	19	17434326	17445480
605	11	418371	441927
606	4	165118159	165118864
607	12	48866448	48866844
608	1	150192993	150208135
609	15	90328580	90349815
610	2	69240632	69472618
611	4	80828583	80993715
612	9	75773452	75785024
613	4	169013852	169108586
614	10	81915609	81932618
615	8	124693480	124749575
616	15	60639829	60690113
617	1	1	2
618	1	1	2
619	4	79475628	79531270
620	2	70008698	70052648
621	4	122589623	122617745
622	5	150481009	150527463
623	10	75135853	75160615
624	1	150955582	150967799
625	7	36552640	36763754
626	17	40996644	41002366
627	17	41003361	41008568
628	2	201450832	201535403
629	1	1	2
630	22	29724810	29763233
631	16	71766961	71823383
632	14	24028958	24036524
633	19	16308838	16345247
634	19	10683742	10697908
635	7	100797796	100803848
636	2	224623432	224702168
637	19	50270391	50310016
638	11	926022	1010626
639	17	33921050	34050719
640	3	183894782	183901405
641	19	47341704	47354024
642	5	77298726	77590404
643	15	83328312	83378459
644	19	2102172	2151334
645	10	75883568	75898138
646	8	42012206	42026580
647	5	115177735	115249188
648	15	90378747	90437182
649	1	114437687	114447340
650	15	51200976	51294860
651	7	99699338	99704506
652	14	31535403	31562242
653	12	99042138	99126345
654	9	72046243	72132127
655	15	29346088	29409337
656	19	3751024	3760263
657	11	6416764	6432578
658	10	26781256	26856418
659	4	40818109	41035272
660	5	139938170	139943831
661	5	112043415	112179824
662	19	1453001	1470213
663	18	10454979	10488036
664	20	57035846	57089764
665	1	159557712	159558499
666	3	49711835	49720776
667	14	20923805	20925668
668	1	150238530	150241211
669	15	63569823	63597981
670	1	10490575	10502463
671	11	57003336	57004479
672	19	36359539	36370344
673	11	129939873	130013344
674	11	116706524	116708104
675	1	156561597	156563877
676	1	161192195	161193192
677	11	116691583	116693908
678	11	116660844	116662577
679	2	21224602	21266818
680	12	7802143	7818469
681	6	41021087	41029611
682	22	39353697	39388451
683	22	39378459	39388451
684	22	39410368	39414393
685	22	39417525	39428322
686	22	39473367	39483427
687	22	39496284	39499703
688	1	183616813	183617917
689	19	45451736	45452507
690	11	116701299	116703601
691	19	45445535	45448563
692	3	195295771	195306333
693	19	45409882	45412508
694	17	64208251	64225498
695	22	36650009	36662080
696	22	36623450	36629209
697	22	36537248	36556940
698	22	36587123	36598083
699	22	36113919	36124946
700	22	36052473	36055644
701	12	12878935	12940587
702	21	27253981	27542939
703	17	58524942	58603293
704	3	57261912	57303716
705	12	105568092	105629791
706	16	88876106	88878308
707	9	32973496	33001603
708	7	30951525	30963245
709	1	154293632	154296957
710	11	77301038	77320423
711	2	241615962	241622255
712	12	50344614	50349392
713	9	33442041	33447529
714	18	24436175	24445654
715	12	50366957	50369455
716	9	33385003	33401261
717	16	25228367	25239814
718	15	58430765	58476335
719	15	35148993	35261815
720	11	72396709	72438174
721	4	36069529	36231109
722	5	141033517	141060054
723	8	143694442	143695633
724	11	118443263	118471430
725	1	228284816	228285715
726	12	49332730	49334879
727	3	57557939	57582868
728	7	127228553	127231354
729	20	61906933	61919226
730	11	47187033	47198405
731	22	43193594	43253189
732	8	68111169	68255523
733	20	47538427	47649737
734	4	153750786	153831372
735	11	6498343	6501652
736	20	62331795	62338444
737	6	131894423	131905049
738	14	68086695	68117638
739	3	121289561	121305448
740	1	1	2
741	13	107196344	107220268
742	11	46700587	46717658
743	4	148653453	148993233
744	15	32908413	32930047
745	10	32096586	32197784
746	2	143913060	144525742
747	16	24931451	25026583
748	6	129899658	130031282
749	11	110450094	110582955
750	10	49654434	49812842
751	4	86491695	86921876
752	2	68962332	69053327
753	5	142150327	142602012
754	18	6837348	6912154
755	1	94639425	94697168
756	1	161017505	161039415
757	14	32559876	32624155
758	22	45182408	45258476
759	12	57866300	57873190
760	17	79826752	79827807
761	12	15095456	15103647
762	16	330681	332815
763	19	42388535	42410939
764	8	1791566	1905430
765	1	17907091	18023876
766	1	156905792	157014123
767	11	120207953	120355787
768	17	8215358	8224312
769	1	3379649	3397152
770	11	73019684	73078826
771	19	7504827	7535185
772	1	16525082	16535550
773	1	155917733	155948219
774	3	56763298	57069178
775	2	131688531	131803763
776	7	144059763	144077150
777	13	111767874	111944680
778	1	27022895	27107248
779	6	157099064	157529026
780	12	46123620	46298862
781	19	929529	972066
782	9	34621455	34628012
783	14	58766573	58838708
784	1	235331840	235490235
785	2	97202564	97218051
786	10	63661469	63852790
787	15	72766981	72875634
788	3	48964992	49020704
789	12	101789418	101801424
790	5	175792567	175798899
791	13	50204584	50205175
792	3	93699268	93772108
793	3	160395135	160395714
794	5	53182391	53606310
795	11	64781680	64789328
796	10	104436651	104474033
797	7	12727880	12728483
798	2	235404652	235405231
799	17	41477101	41477707
800	2	152659790	152684691
801	10	18948567	18964146
802	17	37313147	37322014
803	3	97486952	97516894
804	16	18804574	18812789
805	12	123464935	123467224
806	3	69134199	69153788
807	2	153575139	153616355
808	1	202103595	202113701
809	3	5164151	5220399
810	4	57377498	57390043
811	8	66516629	66539634
812	7	102715720	102739001
813	6	109175471	109294718
814	10	23220926	23326409
815	10	28101441	28284072
816	16	31470846	31478211
817	19	19145019	19168438
818	17	73106384	73125134
819	3	137907370	138014735
820	2	232070952	232209807
821	10	124214244	124216450
822	1	150784497	150849044
823	15	80696858	80886040
824	11	13375856	13408304
825	12	27486006	27573466
826	7	98930977	98963553
827	7	98983338	98992113
828	2	219082194	219118639
829	3	9834806	9847900
830	9	127631570	127639220
831	15	52844131	52861090
832	11	74977207	75062652
833	17	4614017	4624335
834	9	140500170	140509591
835	19	18112124	18123776
836	5	90667217	90678910
837	15	98504092	98514418
838	19	4891058	4902880
839	5	78076220	78281072
840	17	66303635	66416605
841	5	149676777	149681937
842	4	114823430	114899991
843	5	94890983	94939231
844	4	76997043	77033673
845	12	14982305	14996048
846	11	3659968	3663093
847	1	44401329	44402438
848	1	231114852	231133010
849	22	19958751	19978318
850	10	104629350	104660458
851	8	17915043	17942311
852	10	51947075	52008371
853	8	131066977	131414190
854	2	9347234	9543457
855	1	23756349	23810627
856	2	239335712	239355153
857	7	150873199	150884810
858	10	5682666	5708515
859	3	57310578	57326062
860	7	123254557	123277036
861	17	42248158	42255759
862	1	76384637	76397977
863	14	94401002	94430886
864	2	53897640	53992710
865	7	95115284	95167072
866	4	177136751	177190260
867	9	132400069	132404279
868	15	101152422	101188668
869	12	48543149	48547280
870	10	73857092	73973057
871	22	30185002	30228315
872	6	100957262	101315874
873	12	103352023	103352734
874	11	2290981	2291563
875	11	8959163	8959709
876	12	108168993	108169515
877	1	1	2
878	6	119215578	119228780
879	19	14231271	14247269
880	17	7076978	7081883
881	17	7004894	7017560
882	1	155307451	155491311
883	8	37963069	37996590
884	20	32848181	32856974
885	7	65541069	65557900
886	19	12848320	12858919
887	7	97481571	97498469
888	2	190530859	190535453
889	17	3379454	3402383
890	14	104552108	104578882
891	8	62415918	62626931
892	16	29912293	29917219
893	22	26829582	26839173
894	1	197053454	197115568
895	9	95219570	95237180
896	2	70187789	70188821
897	17	79935523	79975199
898	11	62105450	62159757
899	9	133327616	133376409
900	3	130732901	130744151
901	2	96789589	96804176
902	1	176833420	177133813
903	9	119188130	120177217
904	20	30946579	31025142
905	2	25964898	26101092
906	18	31158596	31326560
907	7	117003650	117067515
908	8	124333374	124408598
909	2	23974916	24149641
910	1	1447649	1469453
911	1	1386064	1403911
912	17	29159366	29221932
913	19	3885766	3924591
914	10	123503195	123687465
915	12	51173929	51213563
916	2	175939337	176001172
917	1	212788364	212792937
918	22	39917451	39918608
919	19	50434108	50436350
920	1	161736151	161928445
921	12	53910921	53994785
922	12	14576850	14651008
923	16	10524478	10576107
924	5	81283390	81549245
925	5	115167501	115177250
926	2	234160474	234202997
927	11	72525491	72540436
928	11	64662445	64684608
929	14	96752092	96829314
930	3	112251546	112280376
931	2	242577130	242611680
932	1	63269458	63329831
933	19	10654767	10663744
934	6	106634415	106764084
935	3	11340170	11596318
936	2	220085169	220092747
937	7	150712984	150721511
938	11	289817	294750
939	14	51026984	51099058
940	2	38523136	38604403
941	11	63396791	63438808
942	11	108098352	108236236
943	16	81069476	81078576
944	12	7043165	7050944
945	4	94750078	94751143
946	10	69990976	69991435
947	5	151125886	151138113
948	15	25924488	26108244
949	5	159992460	160115082
950	4	47514558	47593399
951	13	113344731	113536379
952	3	182511548	182635893
953	13	25254882	25285661
954	19	19756231	19774476
955	1	17312480	17338234
956	3	194126648	194182920
957	3	193120441	193272589
958	3	192992831	193096515
959	1	116916134	116947067
960	1	160085652	160111113
961	19	42471089	42498229
962	1	160121831	160156490
963	1	169076068	169100794
964	17	7554837	7559214
965	3	141595644	141644544
966	16	28889993	28915527
967	12	110719595	110788111
968	17	3828672	3867586
969	12	89984761	90049664
970	3	10370498	10491228
971	1	203652334	203708983
972	3	130569665	130735092
973	16	84402222	84497339
974	19	36041517	36054532
975	13	114303689	114312460
976	18	43664248	43678198
977	12	57032107	57039748
978	19	1241850	1244437
979	20	57605361	57607307
980	17	46970780	46973132
981	12	54059098	54069977
982	2	176043016	176046122
983	4	666289	668037
984	21	27096951	27107267
985	7	99055950	99063765
986	11	118272381	118279814
987	21	35275830	35288068
988	14	50779739	50792442
989	19	41938136	41945805
990	5	81601221	81614120
991	17	40612913	40673139
992	12	124197113	124242580
993	7	138391369	138455993
994	1	44440713	44443680
995	16	2564105	2569747
996	16	67472431	67514990
997	8	87111208	87165207
998	5	172410864	172447335
999	7	149571008	149576767
1000	2	71163085	71192252
1001	8	20054918	20077914
1002	8	104053065	104080976
1003	2	10862976	10923390
1004	14	67805338	67826416
1005	2	46739170	46739851
1006	1	198492521	198509781
1007	8	54628524	54754251
1008	13	52508892	52585474
1009	4	42414933	42658891
1010	13	25946351	26594124
1011	18	55315720	55399040
1012	1	154300276	154321595
1013	19	1783027	1811736
1014	15	50152391	50399164
1015	20	50217750	50384909
1016	18	76829411	77137384
1017	1	47101448	47133995
1018	17	17921863	17942328
1019	15	35664351	35838343
1020	1	28562695	28564490
1021	3	142168271	142297547
1022	3	48488250	48506954
1023	20	3451755	3627495
1024	10	116853510	117704291
1025	6	16306560	16328542
1026	22	46067944	46239552
1027	16	71883644	71885714
1028	12	111890616	112037319
1029	16	28834581	28848122
1030	14	92530664	92572897
1031	3	63898275	63985236
1032	7	105248299	105517005
1033	1	110026576	110035223
1034	17	42271631	42275439
1035	1	1	2
1036	2	74753927	74756757
1037	20	54945214	54963254
1038	1	1309181	1310137
1039	17	8108189	8113543
1040	19	57742482	57746786
1041	7	69064640	70255983
1042	15	34158814	34331248
1043	12	58191665	58209824
1044	7	32535322	32623520
1045	20	3063276	3065321
1046	10	99437626	99439663
1047	12	63541139	63544617
1048	1	206224441	206231143
1049	16	338122	397026
1050	17	63526094	63554739
1051	19	41725298	41765810
1052	17	79163569	79193857
1053	3	28365533	28382109
1054	8	103840795	103855881
1055	19	827847	831878
1056	15	45003745	45008541
1057	1	235613521	235667553
1058	2	168725550	168726531
1059	1	193149424	193150693
1060	21	41032487	41033420
1061	1	1167659	1168649
1062	13	31774222	31903806
1063	11	134251832	134257554
1064	6	71571366	71666133
1065	11	66113520	66115017
1066	19	17918617	17922932
1067	12	122689166	122691936
1068	3	182987587	182988724
1069	11	76750596	76751754
1070	2	232260515	232263637
1071	19	41931490	41932684
1072	16	67183180	67184389
1073	17	80904779	81009673
1074	12	58020527	58025916
1075	17	47210155	47247091
1076	11	369804	381793
1077	9	33113452	33167168
1078	1	44446833	44456121
1079	1	161141606	161145851
1080	3	118931396	118948947
1081	20	48252849	48330228
1082	18	29205577	29264390
1083	5	177027212	177036697
1084	17	19246632	19265883
1085	19	41860605	41869425
1086	8	104153126	104240328
1087	9	104124710	104133687
1088	11	117160282	117186512
1089	21	42540191	42647552
1090	21	30693602	30715155
1091	6	90642127	90718564
1092	11	64037681	64051841
1093	9	33255217	33264673
1094	6	57037496	57048989
1095	10	121411188	121436795
1096	14	104026158	104028345
1097	17	79373540	79430844
1098	15	40750664	40758330
1099	8	143545560	143625779
1100	1	32193021	32222823
1101	6	69348568	70098784
1102	17	79009055	79090106
1103	7	97922833	98030165
1104	22	38481307	38506533
1105	16	1384663	1398484
1106	10	28966827	28971331
1107	11	65770722	65771244
1108	20	17674334	17716457
1109	4	102712038	102994901
1110	16	88008722	88110268
1111	3	52436304	52443895
1112	2	215593400	215674294
1113	9	135458185	135464910
1114	1	91177869	91182753
1115	9	96714446	96717429
1116	11	129245931	129321298
1117	5	17275326	17276010
1118	14	75989026	76013015
1119	11	64756601	64764387
1120	1	212860133	212873105
1121	19	49458186	49464894
1122	14	35222714	35343811
1123	7	72856526	72936264
1124	12	56992402	57029970
1125	2	160176776	160335231
1126	19	47724958	47735860
1127	11	27076978	27149001
1128	11	66278131	66299509
1129	12	76739593	76742139
1130	4	123663048	123665181
1131	16	56518673	56553775
1132	15	72978569	73029929
1133	2	170336064	170361093
1134	4	122747015	122791469
1135	7	33185865	33644839
1136	3	107429308	107524305
1137	19	45312382	45324179
1138	1	156615847	156628927
1139	7	107221218	107259051
1140	16	75263409	75301879
1141	1	94027798	94140487
1142	1	1	2
1143	20	52561461	52675258
1144	1	115110751	115124213
1145	17	58756819	59469487
1146	20	49411531	49493146
1147	12	24970942	25101867
1148	19	49298683	49314265
1149	10	127512127	127541813
1150	12	50232154	50236871
1151	3	165491170	165548822
1152	19	41903733	41930514
1153	6	80816411	81053522
1154	16	31120545	31123587
1155	1	85733310	85742036
1156	2	60679700	60780406
1157	14	99640488	99737556
1158	18	60795858	60985900
